,CFBoilerOP.exhaust_oxygen_concentration
2020-08-12 14:00:00,5.310430555555556
2020-08-12 15:00:00,5.531376912378303
2020-08-12 16:00:00,5.873263888888891
2020-08-12 17:00:00,5.423791666666667
2020-08-12 18:00:00,5.6745277777777785
2020-08-12 19:00:00,5.609041666666665
2020-08-12 20:00:00,5.596027777777778
2020-08-12 21:00:00,5.5393750000000015
2020-08-12 22:00:00,5.481847222222224
2020-08-12 23:00:00,5.497875
2020-08-13 00:00:00,5.637291666666668
2020-08-13 01:00:00,5.464875000000001
2020-08-13 02:00:00,5.608069444444444
2020-08-13 03:00:00,5.168166666666664
2020-08-13 04:00:00,5.372208333333333
2020-08-13 05:00:00,5.402416666666669
2020-08-13 06:00:00,5.229694444444446
2020-08-13 07:00:00,5.253208333333332
2020-08-13 08:00:00,5.376277777777778
2020-08-13 09:00:00,5.345166666666666
2020-08-13 10:00:00,5.422625000000002
2020-08-13 11:00:00,5.606611111111112
2020-08-13 12:00:00,5.33823611111111
2020-08-13 13:00:00,5.289361111111111
2020-08-13 14:00:00,5.249180555555556
2020-08-13 15:00:00,5.213375000000001
2020-08-13 16:00:00,5.289527777777779
2020-08-13 17:00:00,5.183015427769987
2020-08-13 18:00:00,5.118805555555555
2020-08-13 19:00:00,4.9372638888888885
2020-08-13 20:00:00,4.9472916666666675
2020-08-13 21:00:00,4.725277777777777
2020-08-13 22:00:00,5.0736527777777765
2020-08-13 23:00:00,5.141972222222224
2020-08-14 00:00:00,5.8403333333333345
2020-08-14 01:00:00,5.741597222222223
2020-08-14 02:00:00,6.1290972222222235
2020-08-14 03:00:00,6.067861111111109
2020-08-14 04:00:00,6.280972222222224
2020-08-14 05:00:00,6.065916666666668
2020-08-14 06:00:00,5.99336111111111
2020-08-14 07:00:00,6.06613888888889
2020-08-14 08:00:00,5.590916666666668
2020-08-14 09:00:00,5.782162962962964
2020-08-14 10:00:00,5.5143902439024375
2020-08-14 11:00:00,5.342402777777779
2020-08-14 12:00:00,5.100999999999997
2020-08-14 13:00:00,5.102930555555555
2020-08-14 14:00:00,5.205222222222223
2020-08-14 15:00:00,5.37877777777778
2020-08-14 16:00:00,5.254291666666665
2020-08-14 17:00:00,5.414625000000001
2020-08-14 18:00:00,5.446666666666666
2020-08-14 19:00:00,5.307986111111112
2020-08-14 20:00:00,5.35751388888889
2020-08-14 21:00:00,5.459583333333333
2020-08-14 22:00:00,5.328791666666668
2020-08-14 23:00:00,5.4269444444444455
2020-08-15 00:00:00,6.106222222222222
2020-08-15 01:00:00,6.327388888888888
2020-08-15 02:00:00,6.122041666666664
2020-08-15 03:00:00,6.1508888888888915
2020-08-15 04:00:00,6.073208333333332
2020-08-15 05:00:00,6.067222222222222
2020-08-15 06:00:00,5.868138888888887
2020-08-15 07:00:00,5.829069444444446
2020-08-15 08:00:00,5.3124027777777805
2020-08-15 09:00:00,5.370083333333334
2020-08-15 10:00:00,5.497527777777778
2020-08-15 11:00:00,5.234722222222224
2020-08-15 12:00:00,5.243861111111112
2020-08-15 13:00:00,5.0639305555555545
2020-08-15 14:00:00,5.185385714285713
2020-08-15 15:00:00,5.172458333333333
2020-08-15 16:00:00,5.406777777777778
2020-08-15 17:00:00,5.382902777777778
2020-08-15 18:00:00,5.556291666666667
2020-08-15 19:00:00,5.411472222222221
2020-08-15 20:00:00,5.326555555555557
2020-08-15 21:00:00,5.434875000000002
