,BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.electricity_generation,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out
2020-09-04 03:08:00,28.762727272727272,2.9763636363636365,443.2563636363638,1.030909090909091,0.6872727272727274,343.7763636363636
2020-09-04 03:09:00,28.986363636363638,2.9981818181818185,442.9290909090909,1.0690909090909093,0.6799999999999998,342.86181818181825
2020-09-04 03:10:00,29.201000000000004,3.0140000000000002,442.354,1.1,0.6799999999999999,341.81499999999994
2020-09-04 03:11:00,29.292727272727276,3.0263636363636364,441.76636363636356,1.1054545454545455,0.6799999999999998,340.66181818181815
2020-09-04 03:12:00,31.735454545454548,2.983636363636364,441.48454545454535,1.2600000000000002,0.6890909090909093,339.87
2020-09-04 03:13:00,31.266000000000002,3.005,441.1820000000001,1.223,0.6960000000000002,338.40299999999996
2020-09-04 03:14:00,32.28916666666667,2.954166666666667,440.92333333333335,1.26,0.7000000000000001,337.71083333333337
2020-09-04 03:15:00,31.381818181818186,2.98090909090909,440.830909090909,1.1899999999999997,0.7000000000000001,337.34363636363634
2020-09-04 03:16:00,31.781666666666666,2.959166666666667,440.9800000000001,1.2183333333333333,0.7066666666666667,337.65000000000003
2020-09-04 03:17:00,32.35,2.922999999999999,441.44000000000005,1.2309999999999999,0.71,337.64200000000005
2020-09-04 03:18:00,32.29083333333333,2.9258333333333333,441.8883333333333,1.2233333333333334,0.7191666666666666,337.7891666666667
2020-09-04 03:19:00,32.29454545454546,2.9263636363636363,442.32545454545453,1.2181818181818185,0.7199999999999999,338.1854545454546
2020-09-04 03:20:00,31.08363636363636,2.9472727272727273,442.8290909090909,1.1281818181818182,0.7199999999999999,338.7072727272727
2020-09-04 03:21:00,31.058999999999997,2.9320000000000004,443.326,1.1170000000000002,0.7250000000000002,339.967
2020-09-04 03:22:00,31.39888888888889,2.9422222222222225,443.5733333333333,1.1422222222222222,0.73,340.72
2020-09-04 03:23:00,30.241666666666664,2.9524999999999992,443.4491666666667,1.0566666666666669,0.7300000000000001,341.16416666666663
2020-09-04 03:24:00,28.94000000000001,2.9516666666666667,443.295,0.9725000000000001,0.7300000000000001,341.9558333333334
2020-09-04 03:25:00,29.189000000000004,3.008,442.66999999999996,1.0070000000000001,0.7300000000000001,342.93499999999995
2020-09-04 03:26:00,29.102500000000003,3.0208333333333335,442.1616666666667,1.0025,0.7300000000000001,343.3374999999999
2020-09-04 03:27:00,29.076363636363638,3.066363636363636,441.7663636363637,1.008181818181818,0.7381818181818183,343.4872727272728
2020-09-04 03:28:00,28.7975,3.0516666666666663,441.3383333333333,0.9691666666666667,0.7425,343.6816666666667
2020-09-04 03:29:00,28.677,3.054,441.18,0.954,0.75,344.15600000000006
2020-09-04 03:30:00,28.367500000000003,3.0958333333333337,441.1816666666667,0.9358333333333335,0.75,344.68
2020-09-04 03:31:00,27.117499999999996,3.1075,441.8049999999999,0.835,0.7508333333333334,345.55750000000006
2020-09-04 03:32:00,28.00545454545454,3.0918181818181822,442.64818181818185,0.8981818181818183,0.7599999999999999,346.63454545454545
2020-09-04 03:33:00,27.505454545454544,3.0736363636363633,443.74999999999994,0.8527272727272727,0.7599999999999999,347.39818181818185
2020-09-04 03:34:00,27.66916666666667,3.036666666666667,444.69750000000005,0.8625000000000002,0.7599999999999999,348.37916666666666
2020-09-04 03:35:00,28.2375,3.015833333333333,445.45000000000005,0.9008333333333334,0.7599999999999999,349.0783333333333
2020-09-04 03:36:00,28.266666666666666,3.061666666666666,445.6916666666666,0.9208333333333334,0.7599999999999999,349.3208333333334
2020-09-04 03:37:00,28.06363636363636,3.0154545454545456,445.6818181818181,0.8881818181818182,0.7599999999999999,349.5463636363636
2020-09-04 03:38:00,28.442727272727268,3.0036363636363634,445.53636363636366,0.9136363636363637,0.7599999999999999,349.86545454545455
2020-09-04 03:39:00,28.528333333333336,2.9908333333333332,445.0108333333333,0.9183333333333333,0.7599999999999999,349.97
2020-09-04 03:40:00,28.730833333333337,3.0199999999999996,444.20249999999993,0.9441666666666668,0.7599999999999999,349.7925
2020-09-04 03:41:00,28.88454545454545,3.070909090909091,443.4609090909091,0.9709090909090907,0.7599999999999999,349.24
2020-09-04 03:42:00,28.757500000000004,3.0558333333333336,442.7866666666667,0.9483333333333331,0.7599999999999999,348.72166666666664
