,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext
2020-09-01 03:52:00,-0.49500000000000005,0.4486
2020-09-01 03:53:00,-0.24000000000000002,0.4486
2020-09-01 03:54:00,-0.49500000000000005,0.4486
2020-09-01 03:55:00,-0.6050000000000001,0.4486
2020-09-01 03:56:00,-0.4675,0.4486
2020-09-01 03:57:00,-0.6875,0.4486
2020-09-01 03:58:00,-0.66,0.4486
2020-09-01 03:59:00,-0.6900000000000001,0.4486
2020-09-01 04:00:00,-0.7975,0.4486
2020-09-01 04:01:00,-0.63,0.4486
2020-09-01 04:02:00,-0.6325000000000001,0.4486
2020-09-01 04:03:00,-0.66,0.4486
2020-09-01 04:04:00,-0.5225000000000001,0.4486
2020-09-01 04:05:00,-0.49500000000000005,0.32036875
2020-09-01 04:06:00,-0.22,0.4486
2020-09-01 04:07:00,-0.33,0.32036875
2020-09-01 04:08:00,-0.15000000000000002,0.4486
2020-09-01 04:09:00,-0.060000000000000005,0.4486
2020-09-01 04:10:00,-0.12000000000000001,0.32036875
2020-09-01 04:11:00,-0.33,0.4486
2020-09-01 04:12:00,-0.11,0.4486
2020-09-01 04:13:00,-0.5775,0.4486
2020-09-01 04:14:00,-0.39,0.4486
2020-09-01 04:15:00,-0.5700000000000001,0.4486
2020-09-01 04:16:00,-0.6875,0.4486
2020-09-01 04:17:00,-0.5225000000000001,0.4486
2020-09-01 04:18:00,-0.42,0.32036875
2020-09-01 04:19:00,-0.41250000000000003,0.4486
2020-09-01 04:20:00,-0.49500000000000005,0.4486
2020-09-01 04:21:00,-0.55,0.4486
2020-09-01 04:22:00,-0.6000000000000001,0.4486
2020-09-01 04:23:00,-0.44,0.4486
2020-09-01 04:24:00,-0.41250000000000003,0.4486
2020-09-01 04:25:00,-0.561,0.4486
2020-09-01 04:26:00,-0.5700000000000001,0.4486
2020-09-01 04:27:00,-0.63,0.4486
2020-09-01 04:28:00,-0.858,0.4486
2020-09-01 04:29:00,-0.54,0.4486
2020-09-01 04:30:00,-0.6000000000000001,0.4486
2020-09-01 04:31:00,-0.935,0.4486
2020-09-01 04:32:00,-0.66,0.4486
2020-09-01 04:33:00,-0.7425,0.4486
2020-09-01 04:34:00,-0.77,0.4486
2020-09-01 04:35:00,-0.4675,0.4486
2020-09-01 04:36:00,-0.8250000000000001,0.4486
2020-09-01 04:37:00,-0.7975,0.4486
2020-09-01 04:38:00,-0.6000000000000001,0.4486
2020-09-01 04:39:00,-0.6050000000000001,0.4486
2020-09-01 04:40:00,-0.78,0.4486
2020-09-01 04:41:00,-0.44,0.4486
2020-09-01 04:42:00,-0.715,0.4486
2020-09-01 04:43:00,-0.858,0.4486
2020-09-01 04:44:00,-0.935,0.4486
2020-09-01 04:45:00,-0.7425,0.4486
2020-09-01 04:46:00,-0.5775,0.4486
2020-09-01 04:47:00,-0.7590000000000001,0.4486
2020-09-01 04:48:00,-0.66,0.4486
2020-09-01 04:49:00,-0.66,0.4486
2020-09-01 04:50:00,-0.8250000000000001,0.4486
2020-09-01 04:51:00,-0.6875,0.4486
2020-09-01 04:52:00,-0.7425,0.4486
2020-09-01 04:53:00,-0.75,0.4486
2020-09-01 04:54:00,-0.66,0.4486
2020-09-01 04:55:00,-1.155,0.4486
2020-09-01 04:56:00,-1.11,0.4486
2020-09-01 04:57:00,-0.99,0.4486
2020-09-01 04:58:00,-1.155,0.4486
2020-09-01 04:59:00,-1.3800000000000001,0.4486
2020-09-01 05:00:00,-1.6775,0.4486
2020-09-01 05:01:00,-1.5675000000000001,0.4486
2020-09-01 05:02:00,-1.35,0.4486
2020-09-01 05:03:00,-1.4700000000000002,0.4486
2020-09-01 05:04:00,-1.54,0.4486
2020-09-01 05:05:00,-1.54,0.4486
2020-09-01 05:06:00,-1.43,0.4486
2020-09-01 05:07:00,-1.375,0.4486
2020-09-01 05:08:00,-1.54,0.4486
2020-09-01 05:09:00,-1.71,0.4486
2020-09-01 05:10:00,-1.485,0.4486
2020-09-01 05:11:00,-1.65,0.4486
2020-09-01 05:12:00,-1.65,0.4486
2020-09-01 05:13:00,-1.6224999999999998,0.4486
2020-09-01 05:14:00,-1.6775,0.4486
2020-09-01 05:15:00,-1.716,0.4486
2020-09-01 05:16:00,-1.56,0.4486
2020-09-01 05:17:00,-1.43,0.4486
2020-09-01 05:18:00,-1.35,0.4486
2020-09-01 05:19:00,-1.375,0.4486
2020-09-01 05:20:00,-1.485,0.4486
2020-09-01 05:21:00,-1.5,0.4486
2020-09-01 05:22:00,-1.155,0.4486
2020-09-01 05:23:00,-1.6866666666666668,0.4486
2020-09-01 05:24:00,-1.595,0.4486
2020-09-01 05:25:00,-1.7233333333333336,0.4486
2020-09-01 05:26:00,-1.6775,0.4486
2020-09-01 05:27:00,-1.4100000000000001,0.4486
2020-09-01 05:28:00,-1.65,0.4486
2020-09-01 05:29:00,-1.595,0.4486
2020-09-01 05:30:00,-1.6775,0.4486
2020-09-01 05:31:00,-1.6224999999999998,0.4486
2020-09-01 05:32:00,-1.716,0.4486
2020-09-01 05:33:00,-1.6500000000000001,0.4486
2020-09-01 05:34:00,-1.6775,0.4486
2020-09-01 05:35:00,-1.62,0.4486
2020-09-01 05:36:00,-1.6500000000000001,0.4486
2020-09-01 05:37:00,-1.7325,0.4486
2020-09-01 05:38:00,-1.7999999999999998,0.4486
2020-09-01 05:39:00,-1.6499999999999997,0.4486
2020-09-01 05:40:00,-1.71,0.4486
2020-09-01 05:41:00,-1.54,0.4486
2020-09-01 05:42:00,-1.3475000000000001,0.4486
2020-09-01 05:43:00,-1.0450000000000002,0.4486
2020-09-01 05:44:00,-1.4400000000000002,0.4486
2020-09-01 05:45:00,-1.2870000000000001,0.4486
2020-09-01 05:46:00,-1.1,0.4486
2020-09-01 05:47:00,-1.21,0.4486
2020-09-01 05:48:00,-1.4100000000000001,0.4486
2020-09-01 05:49:00,-1.2300000000000002,0.4486
2020-09-01 05:50:00,-0.9,0.4486
2020-09-01 05:51:00,-1.1,0.4486
2020-09-01 05:52:00,-1.05,0.4486
2020-09-01 05:53:00,-1.0450000000000002,0.4486
2020-09-01 05:54:00,-1.2375,0.4486
2020-09-01 05:55:00,-0.84,0.4486
2020-09-01 05:56:00,-1.0266666666666666,0.4486
2020-09-01 05:57:00,-0.9625,0.4486
2020-09-01 05:58:00,-0.77,0.4486
2020-09-01 05:59:00,-0.935,0.4486
2020-09-01 06:00:00,-0.6325000000000001,0.4486
2020-09-01 06:01:00,-0.77,0.4486
2020-09-01 06:02:00,-0.4675,0.4486
2020-09-01 06:03:00,-0.51,0.4486
2020-09-01 06:04:00,-0.88,0.32036875
2020-09-01 06:05:00,-0.22,0.4486
2020-09-01 06:06:00,-0.385,0.32036875
2020-09-01 06:07:00,-0.27,0.4486
2020-09-01 06:08:00,-0.27,0.32036875
2020-09-01 06:09:00,-0.6325000000000001,0.32036875
2020-09-01 06:10:00,-0.030000000000000002,0.4486
2020-09-01 06:11:00,0.027499999999999993,0.4486
2020-09-01 06:12:00,-0.39,0.32036875
2020-09-01 06:13:00,-0.10999999999999999,0.32036875
2020-09-01 06:14:00,-0.06000000000000001,0.32036875
2020-09-01 06:15:00,0.0,0.32036875
2020-09-01 06:16:00,0.0275,0.32036875
2020-09-01 06:17:00,0.0275,0.32036875
2020-09-01 06:18:00,-0.11,0.32036875
2020-09-01 06:19:00,-0.030000000000000002,0.32036875
2020-09-01 06:20:00,0.0,0.32036875
2020-09-01 06:21:00,0.0,0.32036875
2020-09-01 06:22:00,0.0825,0.32036875
2020-09-01 06:23:00,1.485,0.32036875
2020-09-01 06:24:00,1.9249999999999998,0.32036875
2020-09-01 06:25:00,2.04,0.32036875
2020-09-01 06:26:00,1.4700000000000002,0.32036875
2020-09-01 06:27:00,1.2650000000000001,0.32036875
2020-09-01 06:28:00,1.0725,0.32036875
2020-09-01 06:29:00,0.21,0.32036875
2020-09-01 06:30:00,0.1925,0.32036875
2020-09-01 06:31:00,0.1375,0.32036875
2020-09-01 06:32:00,0.1925,0.4486
2020-09-01 06:33:00,-0.1925,0.32036875
2020-09-01 06:34:00,-0.12000000000000001,0.32036875
2020-09-01 06:35:00,0.0275,0.32036875
2020-09-01 06:36:00,-0.030000000000000002,0.32036875
2020-09-01 06:37:00,0.0275,0.4486
2020-09-01 06:38:00,-0.055,0.32036875
2020-09-01 06:39:00,-0.1925,0.32036875
2020-09-01 06:40:00,-0.060000000000000005,0.32036875
2020-09-01 06:41:00,0.11,0.32036875
2020-09-01 06:42:00,-0.02750000000000001,0.32036875
2020-09-01 06:43:00,-0.27,0.4486
2020-09-01 06:44:00,-0.1925,0.32036875
2020-09-01 06:45:00,0.33,0.32036875
2020-09-01 06:46:00,0.36000000000000004,0.4486
2020-09-01 06:47:00,0.0,0.32036875
2020-09-01 06:48:00,-0.11,0.4486
2020-09-01 06:49:00,-0.16500000000000004,0.32036875
2020-09-01 06:50:00,-0.21,0.4486
2020-09-01 06:51:00,-0.132,0.32036875
2020-09-01 06:52:00,-0.24000000000000002,0.32036875
2020-09-01 06:53:00,0.27,0.32036875
2020-09-01 06:54:00,0.30250000000000005,0.32036875
2020-09-01 06:55:00,0.1375,0.32036875
2020-09-01 06:56:00,0.05499999999999999,0.32036875
2020-09-01 06:57:00,0.1375,0.32036875
2020-09-01 06:58:00,0.165,0.32036875
2020-09-01 06:59:00,0.36300000000000004,0.32036875
2020-09-01 07:00:00,0.6000000000000001,0.32036875
