,CFBoilerOP.hp_steam_boiler_opt
2020-08-11 10:35:00,70.04999999991222
2020-08-11 10:43:00,78.9
2020-08-11 10:51:00,70.0
2020-08-11 10:59:00,77.5
2020-08-11 11:07:00,70.05999999995574
2020-08-11 11:15:00,78.0
2020-08-11 11:23:00,77.9
2020-08-11 11:31:00,76.5
2020-08-11 11:39:00,77.0
2020-08-11 11:47:00,72.07583333324752
2020-08-11 11:55:00,70.0141666664628
2020-08-11 12:03:00,78.0
2020-08-11 12:11:00,77.14333333334055
2020-08-11 12:19:00,78.42333333334864
2020-08-11 12:27:00,70.0
2020-08-11 12:35:00,71.81000000000253
2020-08-11 12:43:00,71.02000000001301
2020-08-11 12:51:00,70.85999999998899
2020-08-11 12:59:00,79.7
2020-08-11 13:07:00,70.0
2020-08-11 13:15:00,70.0
2020-08-11 13:23:00,71.2358333333291
2020-08-11 13:31:00,71.43666666665634
2020-08-11 13:39:00,70.43833333334933
2020-08-11 13:47:00,70.0
2020-08-11 13:55:00,70.0
2020-08-11 14:03:00,70.0
2020-08-11 14:11:00,71.11999999999159
2020-08-11 14:19:00,70.0
2020-08-11 14:27:00,70.0
2020-08-11 14:35:00,71.14999999998591
2020-08-11 14:43:00,70.11000000000088
2020-08-11 14:51:00,70.71999999999036
2020-08-11 14:59:00,78.2
2020-08-11 15:07:00,70.0
2020-08-11 15:15:00,70.0
2020-08-11 15:23:00,70.0
2020-08-11 15:31:00,78.12000000001649
2020-08-11 15:39:00,77.8
2020-08-11 15:47:00,78.3
2020-08-11 15:55:00,76.84000000000727
2020-08-11 16:03:00,77.599999999994
2020-08-11 16:11:00,77.57605932203697
2020-08-11 16:19:00,78.3
2020-08-11 16:27:00,77.46831864410514
2020-08-11 16:35:00,71.24766584157737
2020-08-11 16:43:00,80.0
2020-08-11 16:51:00,71.48440707774441
2020-08-11 16:59:00,70.0
2020-08-11 17:07:00,78.1799999999934
2020-08-11 17:15:00,76.0699999999839
2020-08-11 17:23:00,70.0
2020-08-11 17:31:00,77.5108333333136
2020-08-11 17:39:00,75.8
2020-08-11 17:47:00,77.4
2020-08-11 17:55:00,76.0
2020-08-11 18:03:00,77.71166666666524
2020-08-11 18:11:00,77.81666666666666
2020-08-11 18:19:00,77.60000000000433
2020-08-11 18:27:00,76.95833333333333
2020-08-11 18:35:00,77.49000000000224
2020-08-11 18:43:00,79.4
2020-08-11 18:51:00,79.9
2020-08-11 18:59:00,79.8
2020-08-11 19:07:00,74.05181442912145
2020-08-11 19:15:00,79.23004286347964
2020-08-11 19:23:00,71.16895456432918
2020-08-11 19:31:00,77.50000000028442
2020-08-11 19:39:00,70.54000000001366
2020-08-11 19:47:00,70.0
2020-08-11 19:55:00,70.0
2020-08-11 20:03:00,70.83198553335154
2020-08-11 20:11:00,78.4
2020-08-11 20:19:00,70.0
2020-08-11 20:27:00,78.3
2020-08-11 20:35:00,70.0
2020-08-11 20:43:00,79.45999999954722
2020-08-11 20:51:00,78.8
2020-08-11 20:59:00,79.28999999983748
2020-08-11 21:07:00,77.5
2020-08-11 21:15:00,78.7
2020-08-11 21:23:00,78.80000000017884
2020-08-11 21:31:00,79.38583333319593
2020-08-11 21:39:00,70.71614521968809
2020-08-11 21:47:00,79.3
2020-08-11 21:55:00,76.1274999999877
2020-08-11 22:03:00,78.28775016628974
2020-08-11 22:11:00,78.24583333336037
2020-08-11 22:19:00,78.41000000001064
2020-08-11 22:27:00,78.6
2020-08-11 22:35:00,79.6341783203804
2020-08-11 22:43:00,79.7
2020-08-11 22:51:00,78.4
2020-08-11 22:59:00,77.29131950052474
2020-08-11 23:07:00,78.58000000000555
2020-08-11 23:15:00,79.67000000002074
2020-08-11 23:23:00,76.90000000000434
2020-08-11 23:31:00,76.53999999999483
2020-08-11 23:39:00,75.94000000000352
2020-08-11 23:47:00,75.9
2020-08-11 23:55:00,80.0
2020-08-12 00:03:00,65.10000000000278
2020-08-12 00:11:00,55.0
2020-08-12 00:19:00,56.10338983050869
2020-08-12 00:27:00,55.70000000006132
2020-08-12 00:35:00,55.29999996636667
2020-08-12 00:43:00,57.774894528773046
2020-08-12 00:51:00,55.0
2020-08-12 00:59:00,55.0
2020-08-12 01:07:00,55.0
2020-08-12 01:15:00,55.0
2020-08-12 01:23:00,55.322330508474785
2020-08-12 01:31:00,63.564915254237185
2020-08-12 01:39:00,55.0
2020-08-12 01:47:00,67.10056497175162
2020-08-12 01:55:00,61.56261652542411
2020-08-12 02:03:00,55.0
2020-08-12 02:11:00,55.0
2020-08-12 02:19:00,55.0
2020-08-12 02:27:00,55.0
2020-08-12 02:35:00,57.366779661016935
